Project H:\DLS_polymer_1.05_100nm\Poly_1.05_200_nm.aap,TabPage 60,,,Contin output,,,,
,Average,Deviation,,Gamma (s^-1),D (m^2 s^-1,R (nm),Area,
Angle (deg),60,0,,571.66,2.16272,99.04495,0.93968,
Temperature (K),293.0343,0,,134260,507.93701,0.42172,0.00082,
Viscosity (mPI),1.002,0,,1725400,6527.59217,0.03282,0.00797,
Refractive index,1.33,0,,,,,,
,,,,,,,,
Lower bound,2,,,,,,,
Upper bound,220,,,,,,,
,,,,,,,,
Correlations,,,,,,,,
index,t(s),POLY_176,Average,Fit,,,,
,,checked,,,,,,
0,2E-07,0.866867,0.866867,,,,,
1,4E-07,0.854443,0.854443,,,,,
2,6E-07,0.879735,0.879735,0.88906041,,,,
3,8E-07,0.895265,0.895265,0.887364,,,,
4,1E-06,0.915972,0.915972,0.88604569,,,,
5,1.2E-06,0.859324,0.859324,0.88491649,,,,
6,1.4E-06,0.879439,0.879439,0.88416409,,,,
7,1.6E-06,0.859028,0.859028,0.8836,,,,
8,1.8E-06,0.91257,0.91257,0.88303609,,,,
9,2E-06,0.895561,0.895561,0.88266025,,,,
10,2.2E-06,0.867015,0.867015,0.88228449,,,,
11,2.4E-06,0.881066,0.881066,0.88190881,,,,
12,2.6E-06,0.899702,0.899702,0.88153321,,,,
13,2.8E-06,0.853851,0.853851,0.88134544,,,,
14,3E-06,0.882545,0.882545,0.88115769,,,,
15,3.2E-06,0.876999,0.876999,0.88078225,,,,
16,3.6E-06,0.863465,0.863465,0.88040689,,,,
17,4E-06,0.880548,0.880548,0.879844,,,,
18,4.4E-06,0.886317,0.886317,0.87946884,,,,
19,4.8E-06,0.885207,0.885207,0.87890625,,,,
20,5.2E-06,0.882693,0.882693,0.87853129,,,,
21,5.6E-06,0.893934,0.893934,0.87815641,,,,
22,6E-06,0.906284,0.906284,0.87759424,,,,
23,6.4E-06,0.877036,0.877036,0.87721956,,,,
24,7.2E-06,0.861469,0.861469,0.87628321,,,,
25,8E-06,0.87637,0.87637,0.87553449,,,,
26,8.8E-06,0.871933,0.871933,0.87459904,,,,
27,9.6E-06,0.876703,0.876703,0.87385104,,,,
28,1.04E-05,0.866682,0.866682,0.87291649,,,,
29,1.12E-05,0.869271,0.869271,0.87216921,,,,
30,1.2E-05,0.863465,0.863465,0.87123556,,,,
31,1.28E-05,0.864815,0.864815,0.870489,,,,
32,1.44E-05,0.861432,0.861432,0.86881041,,,,
33,1.6E-05,0.865167,0.865167,0.86713344,,,,
34,1.76E-05,0.869438,0.869438,0.86564416,,,,
35,1.92E-05,0.863725,0.863725,0.86397025,,,,
36,2.08E-05,0.867071,0.867071,0.86229796,,,,
37,2.24E-05,0.866923,0.866923,0.86081284,,,,
38,2.4E-05,0.858677,0.858677,0.85914361,,,,
39,2.56E-05,0.853436,0.853436,0.85766121,,,,
40,2.88E-05,0.852438,0.852438,0.85451536,,,,
41,3.2E-05,0.852493,0.852493,0.85137529,,,,
42,3.52E-05,0.849757,0.849757,0.848241,,,,
43,3.84E-05,0.84776,0.84776,0.84511249,,,,
44,4.16E-05,0.843527,0.843527,0.84217329,,,,
45,4.48E-05,0.840069,0.840069,0.839056,,,,
46,4.8E-05,0.833192,0.833192,0.83594449,,,,
47,5.12E-05,0.833735,0.833735,0.83302129,,,,
48,5.76E-05,0.823289,0.823289,0.82700836,,,,
49,6.4E-05,0.818186,0.818186,0.82101721,,,,
50,7.04E-05,0.815639,0.815639,0.81504784,,,,
51,7.68E-05,0.812681,0.812681,0.80910025,,,,
52,8.32E-05,0.804371,0.804371,0.80335369,,,,
53,8.96E-05,0.79656,0.79656,0.797449,,,,
54,9.59999999999999E-05,0.789955,0.789955,0.79174404,,,,
55,0.0001024,0.784621,0.784621,0.78605956,,,,
56,0.0001152,0.771307,0.771307,0.77475204,,,,
57,0.000128,0.763163,0.763163,0.76370121,,,,
58,0.0001408,0.750175,0.750175,0.75272976,,,,
59,0.0001536,0.745798,0.745798,0.74200996,,,,
60,0.0001664,0.732662,0.732662,0.73153809,,,,
61,0.0001792,0.719059,0.719059,0.72114064,,,,
62,0.000192,0.710414,0.710414,0.71081761,,,,
63,0.0002048,0.699324,0.699324,0.70073641,,,,
64,0.0002304,0.679484,0.679484,0.68112009,,,,
65,0.000256,0.663586,0.663586,0.66210769,,,,
66,0.0002816,0.643432,0.643432,0.64368529,,,,
67,0.0003072,0.625032,0.625032,0.625681,,,,
68,0.0003328,0.60846,0.60846,0.6084,,,,
69,0.0003584,0.59438,0.59438,0.59166864,,,,
70,0.000384,0.574937,0.574937,0.57532225,,,,
71,0.0004096,0.560022,0.560022,0.559504,,,,
72,0.0004608,0.531892,0.531892,0.52940176,,,,
73,0.000512,0.503253,0.503253,0.50112241,,,,
74,0.0005632,0.476462,0.476462,0.47444544,,,,
75,0.0006144,0.453065,0.453065,0.44943616,,,,
76,0.0006656,0.430065,0.430065,0.42575625,,,,
77,0.0007168,0.406121,0.406121,0.40360609,,,,
78,0.000768,0.385777,0.385777,0.38266596,,,,
79,0.0008192,0.365005,0.365005,0.36288576,,,,
80,0.0009216,0.329568,0.329568,0.32684089,,,,
81,0.001024,0.296577,0.296577,0.29474041,,,,
82,0.0011264,0.266931,0.266931,0.26615281,,,,
83,0.0012288,0.240686,0.240686,0.24059025,,,,
84,0.0013312,0.217776,0.217776,0.21780889,,,,
85,0.0014336,0.196456,0.196456,0.19740249,,,,
86,0.001536,0.178292,0.178292,0.17909824,,,,
87,0.0016384,0.161734,0.161734,0.16273156,,,,
88,0.0018432,0.131451,0.131451,0.13476241,,,,
89,0.002048,0.108302,0.108302,0.11215801,,,,
90,0.0022528,0.0900430000000001,0.0900430000000001,0.09369721,,,,
91,0.0024576,0.075081,0.075081,0.07862416,,,,
92,0.0026624,0.062543,0.062543,0.06625476,,,,
93,0.0028672,0.0515030000000001,0.0515030000000001,0.05597956,,,,
94,0.003072,0.0422800000000001,0.0422800000000001,0.047524,,,,
95,0.0032768,0.03467,0.03467,0.04048144,,,,
96,0.0036864,0.0232939999999999,0.0232939999999999,0.02965284,,,,
97,0.004096,0.0168109999999999,0.0168109999999999,0.02196324,,,,
98,0.0045056,0.010748,0.010748,0.01646089,,,,
99,0.0049152,0.00783599999999995,0.00783599999999995,0.01247689,,,,
100,0.0053248,0.00578699999999999,0.00578699999999999,0.0095394289,,,,
101,0.0057344,0.00431200000000009,0.00431200000000009,0.0073582084,,,,
102,0.006144,0.00313300000000005,0.00313300000000005,0.0057229225,,,,
103,0.0065536,0.00235500000000011,0.00235500000000011,0.0044849809,,,,
104,0.0073728,0.00186500000000001,0.00186500000000001,0.0028111204,,,,
105,0.008192,0.00104700000000002,0.00104700000000002,0.0018054001,,,,
106,0.0090112,0.00092099999999995,0.00092099999999995,0.0011847364,,,,
107,0.0098304,-0.000430799999999953,-0.000430799999999953,0.0007918596,,,,
108,0.0106496,0.000817999999999985,0.000817999999999985,0.00053824,,,,
109,0.0114688,-0.000625100000000045,-0.000625100000000045,0.0003717184,,,,
110,0.012288,-0.000979999999999981,-0.000979999999999981,0.0002598544,,,,
111,0.0131072,-0.000234500000000026,-0.000234500000000026,0.0001841449,,,,
112,0.0147456,0.000823999999999936,0.000823999999999936,9.5374756E-05,,,,
113,0.016384,-0.000479899999999978,-0.000479899999999978,5.1279921E-05,,,,
114,0.0180224,-0.000590599999999997,-0.000590599999999997,2.8462225E-05,,,,
115,0.0196608,-0.00047980000000003,-0.00047980000000003,1.62409E-05,,,,
116,0.0212992,-0.00100199999999995,-0.00100199999999995,9.4864E-06,,,,
117,0.0229376,0.000826999999999911,0.000826999999999911,5.659641E-06,,,,
118,0.024576,0.00147600000000003,0.00147600000000003,3.437316E-06,,,,
119,0.0262144,0.00225399999999998,0.00225399999999998,2.125764E-06,,,,
120,0.0294912,0.000580999999999943,0.000580999999999943,8.4732025E-07,,,,
121,0.032768,0.000331000000000081,0.000331000000000081,3.5497764E-07,,,,
122,0.0360448,1.69999999999337E-05,1.69999999999337E-05,1.5492096E-07,,,,
123,0.0393216,0.00159500000000001,0.00159500000000001,7.006609E-08,,,,
124,0.0425984,-0.00046349999999995,-0.00046349999999995,3.265249E-08,,,,
125,0.0458752,0.000526000000000026,0.000526000000000026,1.5625E-08,,,,
126,0.049152,-0.000333600000000045,-0.000333600000000045,7.6527504E-09,,,,
127,0.0524288,2.99999999997524E-06,2.99999999997524E-06,3.8254225E-09,,,,
128,0.0589824,4.20000000000975E-05,4.20000000000975E-05,1.0086976E-09,,,,
129,0.065536,0.001301,0.001301,2.8224E-10,,,,
130,0.0720896,0.000531999999999977,0.000531999999999977,8.2973881E-11,,,,
131,0.0786432,0.000275000000000025,0.000275000000000025,2.5431849E-11,,,,
132,0.0851968,0.000890999999999975,0.000890999999999975,8.071281E-12,,,,
133,0.0917504,-0.00061509999999998,-0.00061509999999998,2.637376E-12,,,,
134,0.0983039999999999,-0.000344200000000017,-0.000344200000000017,8.8529281E-13,,,,
135,0.1048576,-0.000801099999999999,-0.000801099999999999,3.0437289E-13,,,,
136,0.1179648,0.000593000000000066,0.000593000000000066,3.7636E-14,,,,
137,0.131072,-7.29999999999897E-05,-7.29999999999897E-05,4.9547521E-15,,,,
138,0.1441792,0.000267999999999935,0.000267999999999935,6.948496E-16,,,,
139,0.1572864,0.000221999999999944,0.000221999999999944,9.2659876E-17,,,,
140,0.1703936,-0.000970699999999991,-0.000970699999999991,2.2043025E-17,,,,
141,0.1835008,0.000121000000000038,0.000121000000000038,2.013561E-18,,,,
142,0.196608,0.00059000000000009,0.00059000000000009,7.2812089E-21,,,,
143,0.2097152,0.00019199999999997,0.00019199999999997,3.992004E-22,,,,
144,0.2359296,0.000248999999999944,0.000248999999999944,8.173881E-20,,,,
145,0.262144,0.000166000000000111,0.000166000000000111,4.6703556E-19,,,,
146,0.2883584,0.000342999999999982,0.000342999999999982,3.8402809E-19,,,,
147,0.3145728,0.000259999999999927,0.000259999999999927,4.0462321E-19,,,,
148,0.3407872,0.000189999999999912,0.000189999999999912,1.8447025E-19,,,,
149,0.3670016,-0.00076900000000002,-0.00076900000000002,6.3425296E-19,,,,
150,0.393216,-0.000292999999999988,-0.000292999999999988,3.46921E-19,,,,
151,0.4194304,-5.29999999998587E-06,-5.29999999998587E-06,1.3118884E-21,,,,
152,0.4718592,0.00011899999999998,0.00011899999999998,1.5768841E-19,,,,
153,0.524288,-2.23000000000306E-05,-2.23000000000306E-05,2.9235649E-21,,,,
154,0.5767168,-0.000231199999999987,-0.000231199999999987,1.0227204E-19,,,,
155,0.6291456,0.000221999999999944,0.000221999999999944,1.7598025E-19,,,,
156,0.6815744,7.29999999999897E-05,7.29999999999897E-05,6.702921E-20,,,,
157,0.7340032,0.000248000000000026,0.000248000000000026,2.5240576E-19,,,,
158,0.786432,-0.000450100000000009,-0.000450100000000009,1.8948609E-19,,,,
159,0.8388608,-0.000131499999999951,-0.000131499999999951,1.8020025E-19,,,,
160,0.9437184,9.49999999999562E-05,9.49999999999562E-05,9.960336E-20,,,,
